Velocidad Bala,Desplazamiento Bala,Estatus Salto
-9,747,0
-9,738,0
-9,729,0
-9,720,0
-9,711,0
-9,702,0
-9,693,0
-9,684,0
-9,675,0
-9,666,0
-9,657,0
-9,648,0
-9,639,0
-9,630,0
-9,621,0
-9,612,0
-9,603,0
-9,594,0
-9,585,0
-9,576,0
-9,567,0
-9,558,0
-9,549,0
-9,540,0
-9,531,0
-9,522,0
-9,513,0
-9,504,0
-9,495,0
-9,486,0
-9,477,0
-9,468,0
-9,459,0
-9,450,0
-9,441,0
-9,432,0
-9,423,0
-9,414,0
-9,405,0
-9,396,0
-9,387,0
-9,378,0
-9,369,0
-9,360,0
-9,351,0
-9,342,0
-9,333,0
-9,324,0
-9,315,0
-9,306,0
-9,297,0
-9,288,0
-9,279,0
-9,270,0
-9,261,0
-9,252,0
-9,243,0
-9,234,0
-9,225,0
-9,216,0
-9,207,0
-9,188,0
-9,169,0
-9,151,0
-9,133,0
-9,116,0
-9,99,0
-9,83,1
-9,67,1
-9,52,1
-9,37,1
-9,23,1
-9,9,1
-9,4,1
-9,17,1
-9,29,1
-9,41,1
-9,52,1
-9,63,1
-9,73,1
-9,83,1
-9,92,1
-9,101,1
-9,109,1
-9,117,1
-9,124,1
-9,131,1
-9,137,1
-9,143,1
-9,806,1
-11,799,1
-11,793,1
-11,787,1
-11,782,1
-11,777,1
-11,773,1
-11,769,1
-11,766,0
-11,763,0
-11,761,0
-11,759,0
-11,758,0
-11,757,0
-11,757,0
-11,757,0
-11,758,0
-11,759,0
-11,702,0
-11,691,0
-11,680,0
-11,669,0
-11,658,0
-11,647,0
-11,636,0
-11,625,0
-11,614,0
-11,603,0
-11,592,0
-11,581,0
-11,570,0
-11,559,0
-11,548,0
-11,537,0
-11,526,0
-11,515,0
-11,504,0
-11,493,0
-11,482,0
-11,471,0
-11,460,0
-11,449,0
-11,438,0
-11,427,0
-11,416,0
-11,405,0
-11,394,0
-11,383,0
-11,372,0
-11,361,0
-11,350,0
-11,339,0
-11,328,0
-11,317,0
-11,306,0
-11,295,0
-11,284,0
-11,273,0
-11,262,0
-11,251,0
-11,240,0
-11,229,0
-11,218,0
-11,207,0
-11,196,0
-11,185,0
-11,174,0
-11,163,0
-11,152,0
-11,141,0
-11,130,0
-11,119,0
-11,108,1
-11,97,1
-11,86,1
-11,75,1
-11,64,1
-11,53,1
-11,42,1
-11,31,1
-11,20,1
-11,9,1
-11,2,1
-11,13,1
-11,24,1
-11,35,1
-11,46,1
-11,900,1
-12,888,1
-12,876,1
-12,864,1
-12,852,1
-12,840,1
-12,828,1
-12,816,1
-12,804,1
-12,792,1
-12,780,1
-12,768,1
-12,756,1
-12,744,1
-12,732,1
-12,720,0
-12,708,0
-12,696,0
-12,684,0
-12,672,0
-12,660,0
-12,648,0
-12,636,0
-12,624,0
-12,612,0
-12,600,0
-12,588,0
-12,576,0
-12,564,0
-12,552,0
-12,540,0
-12,528,0
-12,516,0
-12,504,0
-12,492,0
-12,480,0
-12,468,0
-12,456,0
-12,444,0
-12,432,0
-12,420,0
-12,408,0
-12,396,0
-12,384,0
-12,372,0
-12,360,0
-12,348,0
-12,336,0
-12,324,0
-12,312,0
-12,300,0
-12,288,0
-12,276,0
-12,264,0
-12,252,0
-12,240,0
-12,228,0
-12,216,0
-12,204,0
-12,192,0
-12,180,0
-12,168,0
-12,156,0
-12,144,0
-12,132,0
-12,120,0
-12,108,0
-12,96,0
-12,84,0
-12,72,0
-12,50,1
-12,28,1
-12,7,1
-12,14,1
-12,34,1
-12,54,1
-12,73,1
-12,92,1
-12,110,1
-12,128,1
-12,815,1
-12,798,1
-12,782,1
-12,766,1
-12,751,1
-12,736,1
-12,722,1
-12,708,1
-12,695,1
-12,682,1
-12,670,1
-12,658,1
-12,647,1
-12,636,1
-12,626,1
-12,616,1
-12,607,1
-12,598,1
-12,590,1
-12,582,1
-12,575,0
-12,568,0
-12,562,0
-12,556,0
-12,551,0
-12,546,0
-12,542,0
-12,538,0
-12,535,0
-12,532,0
-12,530,0
-12,528,0
-12,527,0
-12,526,0
-12,526,0
-12,526,0
-12,468,0
-12,456,0
-12,444,0
-12,432,0
-12,420,0
-12,408,0
-12,386,0
-12,364,0
-12,343,0
-12,322,0
-12,302,0
-12,282,0
-12,263,0
-12,244,0
-12,226,0
-12,208,0
-12,191,0
-12,174,0
-12,158,0
-12,142,0
-12,127,0
-12,112,0
-12,98,0
-12,84,0
-12,71,0
-12,58,0
-12,46,0
-12,34,0
-12,23,0
-12,12,0
-12,2,0
-12,8,0
-12,17,0
-12,26,0
-12,34,1
-12,42,1
-12,49,1
-12,56,1
-12,62,1
-12,68,1
-12,73,1
-12,78,1
-12,82,1
-12,86,1
-12,871,1
-11,869,1
-11,868,1
-11,867,1
-11,867,1
-11,867,1
-11,868,1
-11,869,1
-11,812,1
-11,801,1
-11,790,1
-11,779,1
-11,768,1
-11,757,1
-11,746,1
-11,735,1
-11,724,1
-11,713,1
-11,702,1
-11,691,1
-11,680,0
-11,669,0
-11,658,0
-11,647,0
-11,636,0
-11,625,0
-11,614,0
-11,603,0
-11,592,0
-11,581,0
-11,570,0
-11,559,0
-11,548,0
-11,537,0
-11,526,0
-11,515,0
-11,504,0
-11,493,0
-11,482,0
-11,471,0
-11,460,0
-11,449,0
-11,438,0
-11,427,0
-11,416,0
-11,405,0
-11,394,0
-11,383,0
-11,372,0
-11,361,0
-11,350,0
-11,339,0
-11,328,0
-11,317,0
-11,306,0
-11,295,0
-11,284,0
-11,273,0
-11,262,0
-11,251,0
-11,240,0
-11,229,0
-11,218,0
-11,207,0
-11,196,0
-11,185,0
-11,174,0
-11,163,0
-11,152,0
-11,141,0
-11,130,0
-11,119,0
-11,108,0
-11,97,0
-11,76,1
-11,55,1
-11,35,1
-11,15,1
-11,4,1
-11,23,1
-11,41,1
-11,59,1
-11,76,1
-11,93,1
-11,109,1
-11,125,1
-11,140,1
-11,802,1
-7,792,1
-7,782,1
-7,773,1
-7,764,1
-7,756,1
-7,748,1
-7,741,1
-7,734,1
-7,728,1
-7,722,1
-7,717,1
-7,712,1
-7,708,1
-7,704,1
-7,701,1
-7,698,1
-7,696,0
-7,694,0
-7,693,0
-7,692,0
-7,692,0
-7,692,0
-7,693,0
-7,694,0
-7,696,0
-7,698,0
-7,701,0
-7,704,0
-7,708,0
-7,712,0
-7,717,0
-7,722,0
-7,669,0
-7,662,0
-7,655,0
-7,648,0
-7,641,0
-7,624,0
-7,607,0
-7,591,0
-7,575,0
-7,560,0
-7,545,0
-7,531,0
-7,517,0
-7,504,0
-7,491,0
-7,479,0
-7,467,0
-7,456,0
-7,445,0
-7,435,0
-7,425,0
-7,416,0
-7,407,0
-7,399,0
-7,391,0
-7,384,0
-7,377,0
-7,371,0
-7,365,0
-7,360,0
-7,355,0
-7,351,0
-7,347,0
-7,344,0
-7,341,0
-7,339,0
-7,337,0
-7,336,0
-7,335,0
-7,335,0
-7,335,0
-7,336,0
-7,337,0
-7,339,0
-7,341,0
-7,344,0
-7,347,0
-7,351,0
-7,355,0
-7,360,0
-7,365,0
-7,312,0
-7,305,0
-7,298,0
-7,291,0
-7,284,0
-7,277,0
-7,270,0
-7,263,0
-7,256,0
-7,249,0
-7,242,0
-7,235,0
-7,228,0
-7,221,0
-7,214,0
-7,207,0
-7,200,0
-7,193,0
-7,186,0
-7,179,0
-7,172,0
-7,165,0
-7,158,0
-7,151,0
-7,144,0
-7,137,0
-7,130,0
-7,123,0
-7,116,0
-7,109,0
-7,102,0
-7,95,0
-7,88,0
-7,81,0
-7,74,0
-7,67,0
-7,60,1
-7,53,1
-7,46,1
-7,39,1
-7,32,1
-7,25,1
-7,18,1
-7,11,1
-7,4,1
-7,3,1
-7,10,1
-7,17,1
-7,24,1
-7,31,1
-7,38,1
-7,45,1
-7,900,1
-7,893,1
-7,886,1
-7,879,1
-7,872,1
-7,865,1
-7,858,1
-7,851,1
-7,844,1
-7,837,1
-7,830,1
-7,823,1
-7,816,1
-7,809,1
-7,802,0
-7,795,0
-7,788,0
-7,781,0
-7,774,0
-7,767,0
-7,760,0
-7,753,0
-7,746,0
-7,739,0
-7,732,0
-7,725,0
-7,718,0
-7,711,0
-7,704,0
-7,697,0
-7,690,0
-7,683,0
-7,676,0
-7,669,0
-7,662,0
-7,655,0
-7,648,0
-7,641,0
-7,634,0
-7,627,0
-7,620,0
-7,613,0
-7,606,0
-7,599,0
-7,592,0
-7,585,0
-7,578,0
-7,571,0
-7,564,0
-7,557,0
-7,550,0
-7,543,0
-7,536,0
-7,529,0
-7,522,0
-7,515,0
-7,508,0
-7,501,0
-7,494,0
-7,487,0
-7,480,0
-7,473,0
-7,466,0
-7,459,0
-7,452,0
-7,445,0
-7,438,0
-7,431,0
-7,424,0
-7,417,0
-7,410,0
-7,403,0
-7,396,0
-7,389,0
-7,382,0
-7,375,0
-7,368,0
-7,361,0
-7,354,0
-7,347,0
-7,340,0
-7,333,0
-7,326,0
-7,319,0
-7,312,0
-7,305,0
-7,298,0
-7,291,0
-7,284,0
-7,277,0
-7,270,0
-7,263,0
-7,256,0
-7,249,0
-7,242,0
-7,235,0
-7,228,0
-7,221,0
-7,214,0
-7,207,0
-7,200,0
-7,193,0
-7,186,0
-7,179,0
-7,162,0
-7,145,0
-7,129,0
-7,113,0
-7,98,0
-7,83,0
-7,69,0
-7,55,1
-7,42,1
-7,29,1
-7,17,1
-7,5,1
-7,6,1
-7,17,1
-7,27,1
-7,37,1
-7,46,1
-7,55,1
-7,63,1
-7,71,1
-7,78,1
-7,85,1
-7,91,1
-7,97,1
-7,102,1
-7,107,1
-7,111,1
-7,115,1
-7,118,1
-7,121,1
-7,123,1
-7,125,1
-7,826,1
-7,825,1
-7,825,1
-7,825,1
-7,826,1
-7,827,0
-7,829,0
-7,831,0
-7,834,0
-7,837,0
-7,841,0
-7,845,0
-7,850,0
-7,855,0
-7,802,0
-7,795,0
-7,788,0
-7,781,0
-7,774,0
-7,767,0
-7,760,0
-7,753,0
-7,746,0
-7,739,0
-7,732,0
-7,725,0
-7,718,0
-7,711,0
-7,704,0
-7,697,0
-7,690,0
-7,683,0
-7,676,0
-7,669,0
-7,662,0
-7,655,0
-7,648,0
-7,641,0
-7,634,0
-7,627,0
-7,620,0
-7,613,0
-7,606,0
-7,599,0
-7,592,0
-7,585,0
-7,578,0
-7,571,0
-7,564,0
-7,557,0
-7,550,0
-7,543,0
-7,536,0
-7,529,0
-7,522,0
-7,515,0
-7,508,0
-7,501,0
-7,494,0
-7,487,0
-7,480,0
-7,473,0
-7,466,0
-7,459,0
-7,452,0
-7,445,0
-7,438,0
-7,431,0
-7,424,0
-7,417,0
-7,410,0
-7,403,0
-7,396,0
-7,389,0
-7,382,0
-7,375,0
-7,368,0
-7,361,0
-7,354,0
-7,347,0
-7,340,0
-7,333,0
-7,326,0
-7,319,0
-7,312,0
-7,305,0
-7,298,0
-7,291,0
-7,284,0
-7,277,0
-7,270,0
-7,263,0
-7,256,0
-7,249,0
-7,242,0
-7,235,0
-7,228,0
-7,221,0
-7,214,0
-7,207,0
-7,200,0
-7,193,0
-7,186,0
-7,179,0
-7,172,0
-7,165,0
-7,158,0
-7,151,0
-7,144,0
-7,137,0
-7,130,0
-7,123,0
-7,116,0
-7,109,0
-7,102,0
-7,95,0
-7,88,0
-7,81,0
-7,74,0
-7,67,0
-7,60,0
-7,53,1
-7,46,1
-7,39,1
-7,32,1
-7,25,1
-7,18,1
-7,11,1
-7,4,1
-7,3,1
-7,10,1
-7,17,1
-7,24,1
-7,31,1
-7,38,1
-7,45,1
-7,900,1
-10,890,1
-10,880,1
-10,870,1
-10,860,1
-10,850,1
-10,840,1
-10,830,1
-10,820,1
-10,810,1
-10,800,1
-10,790,1
-10,780,1
-10,770,1
-10,760,1
-10,750,0
-10,740,0
-10,730,0
-10,720,0
-10,710,0
-10,700,0
-10,690,0
-10,680,0
-10,670,0
-10,660,0
-10,650,0
-10,640,0
-10,630,0
-10,620,0
-10,610,0
-10,600,0
-10,590,0
-10,570,0
-10,550,0
-10,531,0
-10,512,0
-10,494,0
-10,476,0
-10,459,0
-10,442,0
-10,426,0
-10,410,0
-10,395,0
-10,380,0
-10,366,0
-10,352,0
-10,339,0
-10,326,0
-10,314,0
-10,302,0
-10,291,0
-10,280,0
-10,270,0
-10,260,0
-10,251,0
-10,242,0
-10,234,0
-10,226,0
-10,219,0
-10,212,0
-10,206,0
-10,200,0
-10,195,0
-10,190,0
-10,186,0
-10,182,0
-10,179,0
-10,176,0
-10,174,0
-10,172,0
-10,171,0
-10,170,0
-10,170,0
-10,170,0
-10,171,0
-10,172,0
-10,174,0
-10,176,0
-10,120,0
-10,110,0
-10,100,0
-10,90,0
-10,80,0
-10,70,0
-10,60,1
-10,50,1
-10,40,1
-10,30,1
-10,20,1
-10,10,1
-10,0,1
-10,10,1
-10,20,1
-10,30,1
-10,40,1
-10,50,1
-10,900,1
-10,890,1
-10,880,1
-10,870,1
-10,860,1
-10,850,1
-10,840,1
-10,830,1
-10,820,1
-10,810,1
-10,800,1
-10,790,1
-10,780,1
-10,770,1
-10,760,1
-10,750,1
-10,740,1
-10,730,1
-10,720,0
-10,710,0
-10,700,0
-10,690,0
-10,680,0
-10,670,0
-10,660,0
-10,650,0
-10,640,0
-10,630,0
-10,620,0
-10,610,0
-10,600,0
-10,590,0
-10,580,0
-10,570,0
-10,560,0
-10,550,0
-10,540,0
-10,530,0
-10,520,0
-10,510,0
-10,500,0
-10,490,0
-10,480,0
-10,470,0
-10,460,0
-10,450,0
-10,440,0
-10,430,0
-10,420,0
-10,410,0
-10,400,0
-10,390,0
-10,380,0
-10,370,0
-10,360,0
-10,350,0
-10,340,0
-10,330,0
-10,320,0
-10,310,0
-10,300,0
-10,290,0
-10,280,0
-10,270,0
-10,260,0
-10,250,0
-10,240,0
-10,230,0
-10,220,0
-10,210,0
-10,200,0
-10,190,0
-10,180,0
-10,170,0
-10,160,0
-10,150,0
-10,140,0
-10,130,0
-10,120,0
-10,110,1
-10,100,1
-10,90,1
-10,80,1
-10,70,1
-10,60,1
-10,50,1
-10,40,1
-10,30,1
-10,20,1
-10,10,1
-10,0,1
-10,10,1
-10,20,1
-10,30,1
-10,40,1
-10,50,1
-10,900,1
-8,892,1
-8,884,1
-8,876,1
-8,868,1
-8,860,1
-8,852,1
-8,844,1
-8,836,1
-8,828,1
-8,820,1
-8,812,1
-8,804,1
-8,796,0
-8,788,0
-8,780,0
-8,772,0
-8,764,0
-8,756,0
-8,748,0
-8,740,0
-8,732,0
-8,724,0
-8,716,0
-8,708,0
-8,700,0
-8,692,0
-8,684,0
-8,676,0
-8,668,0
-8,660,0
-8,652,0
-8,644,0
-8,636,0
-8,628,0
-8,620,0
-8,612,0
-8,604,0
-8,596,0
-8,588,0
-8,580,0
-8,572,0
-8,564,0
-8,556,0
-8,548,0
-8,540,0
-8,532,0
-8,524,0
-8,516,0
-8,508,0
-8,500,0
-8,492,0
-8,474,0
-8,456,0
-8,439,0
-8,422,0
-8,406,0
-8,390,0
-8,375,0
-8,360,0
-8,346,0
-8,332,0
-8,319,0
-8,306,0
-8,294,0
-8,282,0
-8,271,0
-8,260,0
-8,250,0
-8,240,0
-8,231,0
-8,222,0
-8,214,0
-8,206,0
-8,199,0
-8,192,0
-8,186,0
-8,180,0
-8,175,0
-8,170,0
-8,166,0
-8,162,0
-8,159,0
-8,156,0
-8,154,0
-8,152,0
-8,151,0
-8,150,0
-8,150,0
-8,150,0
-8,151,0
-8,152,0
-8,154,0
-8,156,0
-8,159,0
-8,162,0
-8,166,0
-8,170,0
-8,116,0
-8,108,0
-8,100,0
-8,92,0
-8,84,0
-8,76,0
-8,68,0
-8,60,0
-8,52,0
-8,44,0
-8,36,1
-8,28,1
-8,20,1
-8,12,1
-8,4,1
-8,4,1
-8,12,1
-8,20,1
-8,28,1
-8,36,1
-8,44,1
-8,900,1
-9,891,1
-9,882,1
-9,873,1
-9,864,1
-9,855,1
-9,846,1
-9,837,1
-9,828,1
-9,819,1
-9,810,1
-9,801,1
-9,792,1
-9,783,1
-9,774,1
-9,765,1
-9,756,1
-9,747,1
-9,738,1
-9,729,0
-9,720,0
-9,711,0
-9,702,0
-9,693,0
-9,684,0
-9,675,0
-9,666,0
-9,657,0
-9,648,0
-9,639,0
-9,630,0
-9,621,0
-9,612,0
-9,603,0
-9,594,0
-9,585,0
-9,576,0
-9,567,0
-9,558,0
-9,549,0
-9,540,0
-9,531,0
-9,522,0
-9,513,0
-9,504,0
-9,495,0
-9,486,0
-9,477,0
-9,468,0
-9,459,0
-9,450,0
-9,441,0
-9,432,0
-9,423,0
-9,414,0
-9,405,0
-9,396,0
-9,387,0
-9,378,0
-9,369,0
-9,360,0
-9,351,0
-9,342,0
-9,333,0
-9,324,0
-9,315,0
-9,306,0
-9,297,0
-9,288,0
-9,279,0
-9,270,0
-9,261,0
-9,252,0
-9,243,0
-9,234,0
-9,225,0
-9,216,0
-9,207,0
-9,198,0
-9,189,0
-9,180,0
-9,171,0
-9,162,0
-9,153,0
-9,144,0
-9,135,0
-9,126,1
-9,117,1
-9,108,1
-9,99,1
-9,90,1
-9,81,1
-9,72,1
-9,63,1
-9,54,1
-9,45,1
-9,36,1
-9,27,1
-9,18,1
-9,9,1
-9,0,1
-9,9,1
-9,18,1
-9,27,1
-9,36,1
-9,45,1
-9,900,1
-11,889,1
-11,878,1
-11,867,1
-11,856,1
-11,845,1
-11,834,1
-11,823,1
-11,812,1
-11,801,1
-11,790,0
-11,779,0
-11,768,0
-11,757,0
-11,746,0
-11,735,0
-11,724,0
-11,713,0
-11,702,0
-11,691,0
-11,670,0
-11,649,0
-11,629,0
-11,609,0
-11,590,0
-11,571,0
-11,553,0
-11,535,0
-11,518,0
-11,501,0
-11,485,0
-11,469,0
-11,454,0
-11,439,0
-11,425,0
-11,411,0
-11,398,0
-11,385,0
-11,373,0
-11,361,0
-11,350,0
-11,339,0
-11,329,0
-11,319,0
-11,310,0
-11,301,0
-11,293,0
-11,285,0
-11,278,0
-11,271,0
-11,265,0
-11,259,0
-11,254,0
-11,249,0
-11,245,0
-11,241,0
-11,238,0
-11,235,0
-11,233,0
-11,231,0
-11,230,0
-11,229,0
-11,229,0
-11,229,0
-11,230,0
-11,231,0
-11,174,0
-11,163,0
-11,152,0
-11,141,0
-11,130,0
-11,119,0
-11,108,0
-11,97,1
-11,86,1
-11,75,1
-11,64,1
-11,53,1
-11,42,1
-11,31,1
-11,20,1
-11,9,1
-11,2,1
-11,13,1
-11,24,1
-11,35,1
-11,46,1
-11,900,1
-12,888,1
-12,876,1
-12,864,1
-12,852,1
-12,840,1
-12,828,1
-12,816,1
-12,804,1
-12,792,1
-12,780,1
-12,768,1
-12,756,1
-12,744,1
-12,732,1
-12,720,1
-12,708,0
-12,696,0
-12,684,0
-12,672,0
-12,660,0
-12,648,0
-12,636,0
-12,624,0
-12,612,0
-12,600,0
-12,588,0
-12,576,0
-12,564,0
-12,552,0
-12,540,0
-12,528,0
-12,516,0
-12,504,0
-12,492,0
-12,480,0
-12,468,0
-12,456,0
-12,444,0
-12,432,0
-12,420,0
-12,408,0
-12,396,0
-12,384,0
-12,372,0
-12,360,0
-12,348,0
-12,336,0
-12,324,0
-12,312,0
-12,300,0
-12,288,0
-12,276,0
-12,264,0
-12,252,0
-12,240,0
-12,228,0
-12,216,0
-12,204,0
-12,192,0
-12,180,0
-12,168,1
-12,156,1
-12,144,1
-12,132,1
-12,120,1
-12,108,1
-12,96,1
-12,84,1
-12,72,1
-12,60,1
-12,48,1
-12,36,1
-12,24,1
-12,12,1
-12,0,1
-12,12,1
-12,24,1
-12,36,1
-12,48,1
-12,900,1
-8,892,1
-8,884,1
-8,876,1
-8,868,1
-8,860,1
-8,852,1
-8,844,1
-8,836,1
-8,828,1
-8,820,1
-8,812,0
-8,804,0
-8,796,0
-8,788,0
-8,780,0
-8,772,0
-8,764,0
-8,756,0
-8,748,0
-8,740,0
-8,732,0
-8,724,0
-8,716,0
-8,708,0
-8,700,0
-8,692,0
-8,684,0
-8,676,0
-8,668,0
-8,660,0
-8,652,0
-8,644,0
-8,636,0
-8,628,0
-8,620,0
-8,612,0
-8,604,0
-8,596,0
-8,588,0
-8,580,0
-8,572,0
-8,564,0
-8,556,0
-8,548,0
-8,540,0
-8,532,0
-8,524,0
-8,516,0
-8,508,0
-8,500,0
-8,492,0
-8,484,0
-8,476,0
-8,468,0
-8,460,0
-8,452,0
-8,444,0
-8,436,0
-8,428,0
-8,420,0
-8,412,0
-8,404,0
-8,396,0
